codigo,Descripcion_Articulo_Oferta,Marca_producto,sucursal,fecha_inicio,fecha_fin,stock,Total_Ventas_Unidad,Porcentaje_Vendido
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Sur,2024-08-23,2024-08-23,916.0,64,6.99
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Sur,2024-08-16,2024-08-22,572.0,317,55.42
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Sur,2024-08-10,2024-08-10,701.0,29,4.14
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Italia,2024-08-23,2024-08-23,360.0,90,25.0
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Nogoya Italia,2024-08-16,2024-08-22,607.0,247,40.69
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Hernandez,2024-08-23,2024-08-23,261.0,8,3.07
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Hernandez,2024-08-16,2024-08-22,275.0,144,52.36
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Hernandez,2024-08-10,2024-08-10,337.0,12,3.56
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Crespo,2024-08-23,2024-08-23,363.0,152,41.87
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Crespo,2024-08-16,2024-08-22,347.0,781,225.07
9038,ACEITE DE GIRASOL COCINERO 1.5 LT,MOLINOS RIO DL.PLATA,Crespo,2024-08-10,2024-08-10,613.0,97,15.82
281659,"ACEITE DE GIRASOL LEGITIMO 1,5L.",BUNGE,Nogoya Sur,2024-08-24,2024-08-29,1427.0,398,27.89
281659,"ACEITE DE GIRASOL LEGITIMO 1,5L.",BUNGE,Hernandez,2024-08-24,2024-08-29,219.0,150,68.49
281659,"ACEITE DE GIRASOL LEGITIMO 1,5L.",BUNGE,Crespo,2024-08-24,2024-08-29,560.0,1640,292.86
281659,"ACEITE DE GIRASOL LEGITIMO 1,5L.",BUNGE,Nogoya Italia,2024-08-24,2024-08-29,222.0,219,98.65
257862,ACONDICIONADOR SEDAL 340ML BOMBA ARGAN,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,17.0,21,123.53
257862,ACONDICIONADOR SEDAL 340ML BOMBA ARGAN,SEDAL NUEVO,Nogoya Italia,2024-08-02,2024-08-08,36.0,10,27.78
257862,ACONDICIONADOR SEDAL 340ML BOMBA ARGAN,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,49.0,6,12.24
256121,ACONDICIONADOR SEDAL 340ML CARBON ACTIVADO,SEDAL NUEVO,Hernandez,2024-08-02,2024-08-08,9.0,1,11.11
256121,ACONDICIONADOR SEDAL 340ML CARBON ACTIVADO,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,66.0,6,9.09
256121,ACONDICIONADOR SEDAL 340ML CARBON ACTIVADO,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,5.0,13,260.0
87075,ACONDICIONADOR SEDAL 340ML CERAMIDAS,SEDAL NUEVO,Nogoya Italia,2024-08-02,2024-08-08,57.0,9,15.79
87075,ACONDICIONADOR SEDAL 340ML CERAMIDAS,SEDAL NUEVO,Hernandez,2024-08-02,2024-08-08,8.0,3,37.5
87075,ACONDICIONADOR SEDAL 340ML CERAMIDAS,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,17.0,9,52.94
262497,ACONDICIONADOR SEDAL 340ML COLAGENO Y VIT C,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,24.0,13,54.17
87076,ACONDICIONADOR SEDAL 340ML CREMA BALANCE,SEDAL NUEVO,Nogoya Italia,2024-08-02,2024-08-08,36.0,8,22.22
87076,ACONDICIONADOR SEDAL 340ML CREMA BALANCE,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,44.0,17,38.64
87076,ACONDICIONADOR SEDAL 340ML CREMA BALANCE,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,40.0,33,82.5
262496,ACONDICIONADOR SEDAL 340ML HIALURONICO Y VIT A,SEDAL NUEVO,Hernandez,2024-08-02,2024-08-08,8.0,1,12.5
262496,ACONDICIONADOR SEDAL 340ML HIALURONICO Y VIT A,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,18.0,19,105.56
262496,ACONDICIONADOR SEDAL 340ML HIALURONICO Y VIT A,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,42.0,6,14.29
274114,ACONDICIONADOR SEDAL 340ML JENGIBRE Y RICINO,SEDAL NUEVO,Hernandez,2024-08-02,2024-08-08,11.0,1,9.09
274114,ACONDICIONADOR SEDAL 340ML JENGIBRE Y RICINO,SEDAL NUEVO,Nogoya Italia,2024-08-02,2024-08-08,57.0,1,1.75
87073,ACONDICIONADOR SEDAL 340ML LISO PERFECTO,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,6.0,10,166.67
87073,ACONDICIONADOR SEDAL 340ML LISO PERFECTO,SEDAL NUEVO,Nogoya Italia,2024-08-02,2024-08-08,37.0,11,29.73
87073,ACONDICIONADOR SEDAL 340ML LISO PERFECTO,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,46.0,17,36.96
301636,ACONDICIONADOR SEDAL 340ML PREBIOTICOS+BIOTINA,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,49.0,1,2.04
301636,ACONDICIONADOR SEDAL 340ML PREBIOTICOS+BIOTINA,SEDAL NUEVO,Hernandez,2024-08-02,2024-08-08,3.0,2,66.67
301636,ACONDICIONADOR SEDAL 340ML PREBIOTICOS+BIOTINA,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,10.0,17,170.0
87080,ACONDICIONADOR SEDAL 340ML REST.INSTANTANEA,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,36.0,16,44.44
87080,ACONDICIONADOR SEDAL 340ML REST.INSTANTANEA,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,68.0,40,58.82
87074,ACONDICIONADOR SEDAL 340ML RIZOS DEFINIDOS,SEDAL NUEVO,Nogoya Sur,2024-08-02,2024-08-08,105.0,5,4.76
87074,ACONDICIONADOR SEDAL 340ML RIZOS DEFINIDOS,SEDAL NUEVO,Crespo,2024-08-02,2024-08-08,56.0,18,32.14
383927,ADEREZO HELLMANNS DP. 250G PICANTE,UNILEVER BEST FOODS,Nogoya Italia,2024-08-23,2024-08-29,16.0,7,43.75
383927,ADEREZO HELLMANNS DP. 250G PICANTE,UNILEVER BEST FOODS,Nogoya Sur,2024-08-23,2024-08-29,48.0,11,22.92
383927,ADEREZO HELLMANNS DP. 250G PICANTE,UNILEVER BEST FOODS,Crespo,2024-08-23,2024-08-29,78.0,25,32.05
383927,ADEREZO HELLMANNS DP. 250G PICANTE,UNILEVER BEST FOODS,Hernandez,2024-08-23,2024-08-29,23.0,8,34.78
293777,"AGUA MINERAL S.DE LOS PADRES 6,25 LT.",NUTRECO ALIMENTOS,Crespo,2024-08-02,2024-08-03,125.0,38,30.4
293777,"AGUA MINERAL S.DE LOS PADRES 6,25 LT.",NUTRECO ALIMENTOS,Nogoya Sur,2024-08-02,2024-08-03,62.0,4,6.45
293777,"AGUA MINERAL S.DE LOS PADRES 6,25 LT.",NUTRECO ALIMENTOS,Nogoya Italia,2024-08-02,2024-08-03,45.0,1,2.22
293777,"AGUA MINERAL S.DE LOS PADRES 6,25 LT.",NUTRECO ALIMENTOS,Hernandez,2024-08-02,2024-08-03,32.0,3,9.38
66117,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA",COCA COLA,Hernandez,2024-08-15,2024-08-16,0.0,7,0.0
66117,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA",COCA COLA,Crespo,2024-08-23,2024-08-24,121.0,50,41.32
66117,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA",COCA COLA,Crespo,2024-08-15,2024-08-16,141.0,93,65.96
66117,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA",COCA COLA,Hernandez,2024-08-23,2024-08-24,55.0,2,3.64
66117,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA",COCA COLA,Nogoya Sur,2024-08-15,2024-08-16,3.0,1,33.33
66117,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA",COCA COLA,Nogoya Italia,2024-08-15,2024-08-16,13.0,2,15.38
328908,"AGUA SAB.AQUARIUS 1,500CC.MANZANA",COCA COLA,Crespo,2024-08-23,2024-08-24,93.0,32,34.41
328908,"AGUA SAB.AQUARIUS 1,500CC.MANZANA",COCA COLA,Hernandez,2024-08-15,2024-08-16,-9.0,7,0.0
328908,"AGUA SAB.AQUARIUS 1,500CC.MANZANA",COCA COLA,Hernandez,2024-08-23,2024-08-24,50.0,2,4.0
328908,"AGUA SAB.AQUARIUS 1,500CC.MANZANA",COCA COLA,Nogoya Sur,2024-08-23,2024-08-24,25.0,1,4.0
328908,"AGUA SAB.AQUARIUS 1,500CC.MANZANA",COCA COLA,Crespo,2024-08-15,2024-08-16,64.0,47,73.44
328908,"AGUA SAB.AQUARIUS 1,500CC.MANZANA",COCA COLA,Nogoya Sur,2024-08-15,2024-08-16,29.0,4,13.79
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Crespo,2024-08-15,2024-08-16,135.0,106,78.52
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Crespo,2024-08-23,2024-08-24,137.0,57,41.61
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Hernandez,2024-08-15,2024-08-16,0.0,10,0.0
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Hernandez,2024-08-23,2024-08-24,53.0,6,11.32
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Nogoya Italia,2024-08-15,2024-08-16,-1.0,1,0.0
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Nogoya Italia,2024-08-23,2024-08-24,25.0,4,16.0
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Nogoya Sur,2024-08-15,2024-08-16,29.0,2,6.9
850,"AGUA SAB.AQUARIUS 1,500CC.NARANJA",COCA COLA,Nogoya Sur,2024-08-23,2024-08-24,35.0,8,22.86
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Crespo,2024-08-15,2024-08-16,135.0,69,51.11
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Hernandez,2024-08-15,2024-08-16,0.0,10,0.0
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Hernandez,2024-08-23,2024-08-24,79.0,6,7.59
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Nogoya Italia,2024-08-15,2024-08-16,23.0,4,17.39
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Nogoya Italia,2024-08-23,2024-08-24,54.0,8,14.81
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Nogoya Sur,2024-08-15,2024-08-16,18.0,3,16.67
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Nogoya Sur,2024-08-23,2024-08-24,19.0,2,10.53
328748,"AGUA SAB.AQUARIUS 1,500CC.PERA",COCA COLA,Crespo,2024-08-23,2024-08-24,143.0,98,68.53
328915,"AGUA SAB.AQUARIUS 1,500CC.POMELO",COCA COLA,Nogoya Italia,2024-08-23,2024-08-24,9.0,3,33.33
328915,"AGUA SAB.AQUARIUS 1,500CC.POMELO",COCA COLA,Nogoya Italia,2024-08-15,2024-08-16,12.0,1,8.33
328915,"AGUA SAB.AQUARIUS 1,500CC.POMELO",COCA COLA,Nogoya Sur,2024-08-23,2024-08-24,6.0,6,100.0
328915,"AGUA SAB.AQUARIUS 1,500CC.POMELO",COCA COLA,Crespo,2024-08-23,2024-08-24,112.0,75,66.96
328915,"AGUA SAB.AQUARIUS 1,500CC.POMELO",COCA COLA,Crespo,2024-08-15,2024-08-16,106.0,67,63.21
389278,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO",COCA COLA,Crespo,2024-08-23,2024-08-24,124.0,13,10.48
389278,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO",COCA COLA,Crespo,2024-08-15,2024-08-16,83.0,22,26.51
389278,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO",COCA COLA,Nogoya Italia,2024-08-15,2024-08-16,10.0,2,20.0
389278,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO",COCA COLA,Nogoya Italia,2024-08-23,2024-08-24,7.0,1,14.29
395517,ALIMENTO CHOCOLATE QUILLA 200 GR,JOAQUIN CUTCHET S.A.,Hernandez,2024-08-02,2024-08-10,25.0,2,8.0
395517,ALIMENTO CHOCOLATE QUILLA 200 GR,JOAQUIN CUTCHET S.A.,Crespo,2024-08-02,2024-08-10,122.0,134,109.84
395517,ALIMENTO CHOCOLATE QUILLA 200 GR,JOAQUIN CUTCHET S.A.,Nogoya Sur,2024-08-02,2024-08-10,115.0,5,4.35
8424,ALIMENTO CHOCOLATE QUILLA 450G,JOAQUIN CUTCHET S.A.,Nogoya Sur,2024-08-02,2024-08-10,141.0,6,4.26
8424,ALIMENTO CHOCOLATE QUILLA 450G,JOAQUIN CUTCHET S.A.,Nogoya Italia,2024-08-02,2024-08-10,9.0,1,11.11
8424,ALIMENTO CHOCOLATE QUILLA 450G,JOAQUIN CUTCHET S.A.,Crespo,2024-08-02,2024-08-10,77.0,89,115.58
8424,ALIMENTO CHOCOLATE QUILLA 450G,JOAQUIN CUTCHET S.A.,Hernandez,2024-08-02,2024-08-10,24.0,4,16.67
8431,ALIMENTO CHOCOLATE QUILLA 900G,JOAQUIN CUTCHET S.A.,Hernandez,2024-08-02,2024-08-10,10.0,11,110.0
8431,ALIMENTO CHOCOLATE QUILLA 900G,JOAQUIN CUTCHET S.A.,Crespo,2024-08-02,2024-08-10,51.0,75,147.06
202227,ALIMENTO CHOCOLATE TODDY 360G. EXTREMO,GEORGALOS,Crespo,2024-08-02,2024-08-08,74.0,797,1077.03
202227,ALIMENTO CHOCOLATE TODDY 360G. EXTREMO,GEORGALOS,Hernandez,2024-08-02,2024-08-08,12.0,11,91.67
248753,"ALIMENTO DOG CHOW 1,5K. S/C CACH. M/P (10700)",DELLA SCHIAVA,Crespo,2024-08-16,2024-08-30,139.0,55,39.57
263372,ALIMENTO DOG CHOW 3KG.CA. S/C R.PEQUEÑA (10608),DELLA SCHIAVA,Crespo,2024-08-06,2024-08-30,79.0,34,43.04
264259,ALMOHADITAS P.PRECIO RELL.AVELLANA 180G.,LASFOR S.R.L.,Crespo,2024-08-09,2024-08-15,48.0,52,108.33
264259,ALMOHADITAS P.PRECIO RELL.AVELLANA 180G.,LASFOR S.R.L.,Hernandez,2024-08-09,2024-08-15,18.0,2,11.11
264259,ALMOHADITAS P.PRECIO RELL.AVELLANA 180G.,LASFOR S.R.L.,Nogoya Sur,2024-08-09,2024-08-15,98.0,28,28.57
37558,ALMOHADITAS P.PRECIO RELL.CHOCO.180,LASFOR S.R.L.,Nogoya Sur,2024-08-09,2024-08-15,104.0,10,9.62
37558,ALMOHADITAS P.PRECIO RELL.CHOCO.180,LASFOR S.R.L.,Crespo,2024-08-09,2024-08-15,14.0,40,285.71
37558,ALMOHADITAS P.PRECIO RELL.CHOCO.180,LASFOR S.R.L.,Nogoya Italia,2024-08-09,2024-08-15,36.0,31,86.11
37557,ALMOHADITAS P.PRECIO RELL.FRUTI.180,LASFOR S.R.L.,Nogoya Sur,2024-08-09,2024-08-15,107.0,8,7.48
37557,ALMOHADITAS P.PRECIO RELL.FRUTI.180,LASFOR S.R.L.,Crespo,2024-08-09,2024-08-15,37.0,68,183.78
37557,ALMOHADITAS P.PRECIO RELL.FRUTI.180,LASFOR S.R.L.,Nogoya Italia,2024-08-09,2024-08-15,-1.0,33,0.0
37557,ALMOHADITAS P.PRECIO RELL.FRUTI.180,LASFOR S.R.L.,Hernandez,2024-08-09,2024-08-15,18.0,3,16.67
37563,ALMOHADITAS P.PRECIO RELL.LIMON 180,LASFOR S.R.L.,Crespo,2024-08-09,2024-08-15,21.0,18,85.71
37563,ALMOHADITAS P.PRECIO RELL.LIMON 180,LASFOR S.R.L.,Nogoya Italia,2024-08-09,2024-08-15,4.0,8,200.0
37563,ALMOHADITAS P.PRECIO RELL.LIMON 180,LASFOR S.R.L.,Nogoya Sur,2024-08-09,2024-08-15,197.0,23,11.68
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Hernandez,2024-08-23,2024-08-29,92.0,47,51.09
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Crespo,2024-08-23,2024-08-29,89.0,29,32.58
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Nogoya Italia,2024-08-23,2024-08-29,102.0,39,38.24
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Nogoya Sur,2024-08-02,2024-08-08,130.0,3,2.31
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Nogoya Sur,2024-08-23,2024-08-29,186.0,56,30.11
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Hernandez,2024-08-02,2024-08-08,10.0,4,40.0
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Nogoya Italia,2024-08-02,2024-08-08,181.0,56,30.94
70260,ANILLOS DE CEREAL P.PRECIO 160G. FRUTA,LASFOR S.R.L.,Crespo,2024-08-02,2024-08-08,17.0,40,235.29
213576,APERITIVO CYNAR 750ML ORIGINAL,CAMPARI,Crespo,2024-08-02,2024-08-03,10.0,23,230.0
213576,APERITIVO CYNAR 750ML ORIGINAL,CAMPARI,Hernandez,2024-08-02,2024-08-03,15.0,2,13.33
213576,APERITIVO CYNAR 750ML ORIGINAL,CAMPARI,Nogoya Italia,2024-08-02,2024-08-03,13.0,2,15.38
213576,APERITIVO CYNAR 750ML ORIGINAL,CAMPARI,Nogoya Sur,2024-08-02,2024-08-03,48.0,2,4.17
224613,APERITIVO MARTINI ROSSO 1L.,CEPAS ARGENTINA S.A.,Crespo,2024-08-02,2024-08-03,7.0,12,171.43
224613,APERITIVO MARTINI ROSSO 1L.,CEPAS ARGENTINA S.A.,Nogoya Sur,2024-08-02,2024-08-03,23.0,1,4.35
224613,APERITIVO MARTINI ROSSO 1L.,CEPAS ARGENTINA S.A.,Hernandez,2024-08-02,2024-08-03,10.0,1,10.0
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Crespo,2024-08-09,2024-08-10,67.0,23,34.33
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Hernandez,2024-08-30,2024-08-31,44.0,5,11.36
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Nogoya Sur,2024-08-30,2024-08-31,194.0,9,4.64
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Nogoya Sur,2024-08-09,2024-08-10,228.0,6,2.63
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Nogoya Italia,2024-08-30,2024-08-31,28.0,3,10.71
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Nogoya Italia,2024-08-09,2024-08-10,31.0,5,16.13
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Hernandez,2024-08-09,2024-08-10,26.0,2,7.69
242081,APERITIVO TRES TORRES SERRANO 2L.,CEPAS ARGENTINA S.A.,Crespo,2024-08-30,2024-08-31,91.0,25,27.47
260806,AROMATIZANTE POETT 360ML ALEGRA TU DIA,CLOROX,Crespo,2024-08-23,2024-08-29,31.0,15,48.39
260806,AROMATIZANTE POETT 360ML ALEGRA TU DIA,CLOROX,Hernandez,2024-08-23,2024-08-29,57.0,4,7.02
260806,AROMATIZANTE POETT 360ML ALEGRA TU DIA,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,47.0,2,4.26
260806,AROMATIZANTE POETT 360ML ALEGRA TU DIA,CLOROX,Nogoya Italia,2024-08-23,2024-08-29,25.0,2,8.0
259294,AROMATIZANTE POETT 360ML ALGODON,CLOROX,Hernandez,2024-08-23,2024-08-29,84.0,1,1.19
259294,AROMATIZANTE POETT 360ML ALGODON,CLOROX,Nogoya Italia,2024-08-23,2024-08-29,42.0,4,9.52
259294,AROMATIZANTE POETT 360ML ALGODON,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,70.0,3,4.29
259294,AROMATIZANTE POETT 360ML ALGODON,CLOROX,Crespo,2024-08-23,2024-08-29,18.0,10,55.56
259291,AROMATIZANTE POETT 360ML BEBE,CLOROX,Hernandez,2024-08-23,2024-08-29,61.0,2,3.28
259291,AROMATIZANTE POETT 360ML BEBE,CLOROX,Crespo,2024-08-23,2024-08-29,23.0,15,65.22
259291,AROMATIZANTE POETT 360ML BEBE,CLOROX,Nogoya Italia,2024-08-23,2024-08-29,20.0,3,15.0
259291,AROMATIZANTE POETT 360ML BEBE,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,80.0,6,7.5
260808,AROMATIZANTE POETT 360ML DESPERTAR DE ENERGIA,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,60.0,1,1.67
260808,AROMATIZANTE POETT 360ML DESPERTAR DE ENERGIA,CLOROX,Crespo,2024-08-23,2024-08-29,21.0,20,95.24
260808,AROMATIZANTE POETT 360ML DESPERTAR DE ENERGIA,CLOROX,Nogoya Italia,2024-08-23,2024-08-29,43.0,7,16.28
260808,AROMATIZANTE POETT 360ML DESPERTAR DE ENERGIA,CLOROX,Hernandez,2024-08-23,2024-08-29,71.0,6,8.45
260807,AROMATIZANTE POETT 360ML ESPIRITU PLAY,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,43.0,5,11.63
260807,AROMATIZANTE POETT 360ML ESPIRITU PLAY,CLOROX,Crespo,2024-08-23,2024-08-29,39.0,10,25.64
260807,AROMATIZANTE POETT 360ML ESPIRITU PLAY,CLOROX,Hernandez,2024-08-23,2024-08-29,60.0,1,1.67
259293,AROMATIZANTE POETT 360ML LAVANDA,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,30.0,9,30.0
259293,AROMATIZANTE POETT 360ML LAVANDA,CLOROX,Hernandez,2024-08-23,2024-08-29,74.0,2,2.7
259293,AROMATIZANTE POETT 360ML LAVANDA,CLOROX,Crespo,2024-08-23,2024-08-29,20.0,22,110.0
260805,AROMATIZANTE POETT 360ML MUSICA EN PRIMAVERA,CLOROX,Hernandez,2024-08-23,2024-08-29,49.0,8,16.33
260805,AROMATIZANTE POETT 360ML MUSICA EN PRIMAVERA,CLOROX,Nogoya Italia,2024-08-23,2024-08-29,11.0,4,36.36
260805,AROMATIZANTE POETT 360ML MUSICA EN PRIMAVERA,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,60.0,2,3.33
260805,AROMATIZANTE POETT 360ML MUSICA EN PRIMAVERA,CLOROX,Crespo,2024-08-23,2024-08-29,28.0,11,39.29
259292,AROMATIZANTE POETT 360ML PRIMAVERA,CLOROX,Hernandez,2024-08-23,2024-08-29,30.0,1,3.33
259292,AROMATIZANTE POETT 360ML PRIMAVERA,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,73.0,2,2.74
259292,AROMATIZANTE POETT 360ML PRIMAVERA,CLOROX,Crespo,2024-08-23,2024-08-29,14.0,7,50.0
260804,AROMATIZANTE POETT 360ML SOLO PARA TI,CLOROX,Nogoya Sur,2024-08-23,2024-08-29,120.0,2,1.67
260804,AROMATIZANTE POETT 360ML SOLO PARA TI,CLOROX,Nogoya Italia,2024-08-23,2024-08-29,40.0,3,7.5
260804,AROMATIZANTE POETT 360ML SOLO PARA TI,CLOROX,Hernandez,2024-08-23,2024-08-29,64.0,5,7.81
260804,AROMATIZANTE POETT 360ML SOLO PARA TI,CLOROX,Crespo,2024-08-23,2024-08-29,29.0,21,72.41
58924,ARROZ BARBARA L.F.00000 1 KG.,SAGEMULLER,Nogoya Sur,2024-08-23,2024-08-29,1555.0,353,22.7
58924,ARROZ BARBARA L.F.00000 1 KG.,SAGEMULLER,Nogoya Italia,2024-08-23,2024-08-29,25.0,187,748.0
58924,ARROZ BARBARA L.F.00000 1 KG.,SAGEMULLER,Hernandez,2024-08-23,2024-08-29,262.0,150,57.25
58924,ARROZ BARBARA L.F.00000 1 KG.,SAGEMULLER,Crespo,2024-08-23,2024-08-29,186.0,736,395.7
218407,ARROZ CON LECHE TREGAR CHOCOLATE 180G.,TREGAR,Crespo,2024-08-23,2024-08-27,91.0,31,34.07
218407,ARROZ CON LECHE TREGAR CHOCOLATE 180G.,TREGAR,Hernandez,2024-08-23,2024-08-27,13.0,3,23.08
218404,ARROZ CON LECHE TREGAR LIGHT 180G.,TREGAR,Crespo,2024-08-23,2024-08-27,33.0,10,30.3
16506,ARROZ NOBLE LARGO FINO 00000 1KG.,ARROCEROS VILLA ELIS,Crespo,2024-08-16,2024-08-22,169.0,431,255.03
16506,ARROZ NOBLE LARGO FINO 00000 1KG.,ARROCEROS VILLA ELIS,Nogoya Sur,2024-08-16,2024-08-22,379.0,42,11.08
16506,ARROZ NOBLE LARGO FINO 00000 1KG.,ARROCEROS VILLA ELIS,Nogoya Italia,2024-08-16,2024-08-22,333.0,82,24.62
16506,ARROZ NOBLE LARGO FINO 00000 1KG.,ARROCEROS VILLA ELIS,Hernandez,2024-08-16,2024-08-22,219.0,20,9.13
15105,AZUCAR EN PANCITOS MENDEZ 500G,AZUMENDEZ,Nogoya Sur,2024-08-09,2024-08-15,84.0,1,1.19
15105,AZUCAR EN PANCITOS MENDEZ 500G,AZUMENDEZ,Crespo,2024-08-09,2024-08-15,32.0,24,75.0
65565,AZUCAR PRIMER PRECIO 1KG.,AZUCAR VARIOS,Hernandez,2024-08-02,2024-08-08,137.0,175,127.74
65565,AZUCAR PRIMER PRECIO 1KG.,AZUCAR VARIOS,Nogoya Italia,2024-08-02,2024-08-08,1362.0,297,21.81
65565,AZUCAR PRIMER PRECIO 1KG.,AZUCAR VARIOS,Crespo,2024-08-02,2024-08-08,1229.0,2383,193.9
65565,AZUCAR PRIMER PRECIO 1KG.,AZUCAR VARIOS,Nogoya Sur,2024-08-02,2024-08-08,199.0,340,170.85
269453,BEBIDA BASE NUEZ PECAN PAMPA VIDA 1L. S/AZUCAR,PAMPA VIDA S.A.,Crespo,2024-08-09,2024-08-15,23.0,17,73.91
269453,BEBIDA BASE NUEZ PECAN PAMPA VIDA 1L. S/AZUCAR,PAMPA VIDA S.A.,Nogoya Italia,2024-08-09,2024-08-15,0.0,6,0.0
298244,BEBIDA ENERGIZANTE MONSTER ANANA 473ML.LATA,COCA COLA,Crespo,2024-08-15,2024-08-16,32.0,10,31.25
247104,BEBIDA ENERGIZANTE MONSTER GREEN 473ML.LATA,COCA COLA,Nogoya Sur,2024-08-15,2024-08-16,39.0,10,25.64
247104,BEBIDA ENERGIZANTE MONSTER GREEN 473ML.LATA,COCA COLA,Crespo,2024-08-15,2024-08-16,28.0,29,103.57
